cycle_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
207,4023,4032,,,,,,,,,,,,,
208,4032,4023,,,,,,,,,,,,,
209,4041,4050,,,,,,,,,,,,,
210,4050,4041,,,,,,,,,,,,,
211,4113,4122,,,,,,,,,,,,,
212,4122,4113,,,,,,,,,,,,,
213,4131,4140,,,,,,,,,,,,,
214,4140,4131,,,,,,,,,,,,,
215,4203,4212,,,,,,,,,,,,,
216,4212,4203,,,,,,,,,,,,,
217,4221,4230,,,,,,,,,,,,,
218,4230,4221,,,,,,,,,,,,,
219,4311,4320,,,,,,,,,,,,,
220,4320,4311,,,,,,,,,,,,,
221,4401,4410,,,,,,,,,,,,,
222,4410,4401,,,,,,,,,,,,,
223,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500
224,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518
225,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491
226,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536
227,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509
228,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572,4554
229,4545,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527
230,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590,4572
231,4563,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545
232,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608,4590
233,4581,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563
234,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626,4608
235,4599,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581
236,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599,4626
237,4671,4689,4716,4698,,,,,,,,,,,
238,4626,4608,4590,4572,4554,4536,4518,4500,4491,4509,4527,4545,4563,4581,4599
239,4689,4716,4698,4671,,,,,,,,,,,
240,4698,4671,4689,4716,,,,,,,,,,,
241,4761,4779,4806,4788,,,,,,,,,,,
242,4716,4698,4671,4689,,,,,,,,,,,
243,4779,4806,4788,4761,,,,,,,,,,,
244,4788,4761,4779,4806,,,,,,,,,,,
245,4806,4788,4761,4779,,,,,,,,,,,
246,4869,4896,,,,,,,,,,,,,
247,4896,4869,,,,,,,,,,,,,
248,4959,4986,,,,,,,,,,,,,
249,5022,5013,,,,,,,,,,,,,
250,4986,4959,,,,,,,,,,,,,
251,5013,5022,,,,,,,,,,,,,
252,5031,5040,,,,,,,,,,,,,
253,5040,5031,,,,,,,,,,,,,
254,5103,5112,,,,,,,,,,,,,
255,5112,5103,,,,,,,,,,,,,
256,5121,5130,,,,,,,,,,,,,
257,5130,5121,,,,,,,,,,,,,
258,5211,5220,,,,,,,,,,,,,
259,5220,5211,,,,,,,,,,,,,
260,5301,5310,,,,,,,,,,,,,
261,5310,5301,,,,,,,,,,,,,
262,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400
263,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418
264,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391
265,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436
266,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409
267,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472,5454
268,5445,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427
269,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490,5472
270,5463,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445
271,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508,5490
272,5481,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463
273,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526,5508
274,5499,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481
275,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499,5526
276,5571,5589,5616,5598,,,,,,,,,,,
